wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
6151.954,4.44,-5.385,c3F,t5D*,32,105,c3F,t5D*,c,c,label,label,True
6152.073,4.207,-4.185,c3D,7P*,29,0,c3D,none,c,x,label,label-absent->energy-route-disabled,False
6152.08,4.099,-2.032,b3F,x3D*,26,85,b3F,x3D*,c,c,label,label,True
6152.304,4.208,-5.086,c3D,7P*,29,0,c3D,none,c,x,label,label-absent->energy-route-disabled,False
6152.409,4.697,-3.964,e5S,s5P*,38,123,e5S,s5P*,c,c,label,label,True
6152.444,4.207,-2.957,c3D,w3D*,29,98,c3D,w3D*,c,c,label,label,True
6152.653,3.449,-2.256,y7P*,e5D,17,51,y7P*,e5D,c,c,label,label,True
6152.675,4.208,-1.821,c3D,w3D*,29,98,c3D,w3D*,c,c,label,label,True
6153.461,3.892,-3.736,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6159.424,3.449,-1.705,y7P*,e5D,17,51,y7P*,e5D,c,c,label,label,True
6161.372,3.45,-4.666,z7D*,e5D,15,51,z7D*,e5D,c,c,label,label,True
6161.996,4.44,-5.969,c3F,t5D*,32,105,c3F,t5D*,c,c,label,label,True
6162.821,4.575,-6.131,e7S,r5F*,36,111,e7S,r5F*,c,c,label,label,True
6168.024,3.89,-3.67,a5F,z3I*,23,73,a5F,z3I*,c,c,label,label,True
6169.307,4.44,-4.904,c3F,t5D*,32,105,c3F,t5D*,c,c,label,label,True
6169.358,1.004,-9.719,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6169.358,1.004,-7.755,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6170.67,4.446,-4.508,c3F,t5D*,32,105,c3F,t5D*,c,c,label,label,True
