wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
4830.782,11.748,-4.446,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4830.787,11.81,-5.056,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4832.963,5.662,-3.393,c2D,y4P*,176,199,c2D,y4P*,c,c,label,label,True
4836.229,3.858,-1.96,a4F,z4F*,158,183,a4F,z4F*,c,c,label,label,True
4839.163,11.135,-3.788,f4D,4F*,251,0,f4D,none,c,x,label,label-absent->energy-route-disabled,False
4839.341,10.762,-5.955,u4G*,6F,244,0,u4G*,none,c,x,label,label-absent->energy-route-disabled,False
4839.971,11.788,-4.737,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4840.011,11.788,-6.36,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4840.114,8.673,-6.508,2D*,e4F,0,254,none,e4F,x,c,label-absent->energy-route-disabled,label,False
4840.287,8.309,-5.437,y4F*,e6F,201,246,y4F*,e6F,c,c,label,label,True
4840.433,10.843,-1.807,u4G*,h4H,244,339,u4G*,h4H,c,c,label,label,True
4847.307,5.67,-3.658,c2D,y4P*,176,199,c2D,y4P*,c,c,label,label,True
4848.235,3.864,-1.18,a4F,z4F*,158,183,a4F,z4F*,c,c,label,label,True
4848.729,8.692,-2.961,y2G*,e4F,212,254,y2G*,e4F,c,c,label,label,True
