wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
5058.67	5058.822		7.0				L2138c153	8.647160399  -   [11.097328]	8.647160399			5058.67
5059.656	5059.659		3.0				L17684	8.53709962   -    10.986862	8.53709962			5059.656
5064.147	5064.146		5.0				L17684	8.643023685  -    11.090616	8.643023685			5064.147
5076.592	5076.598		3.0				L17684	8.53709962   -    10.9786886	8.53709962			5076.592
5089.632	5089.641		3.0				L17684	8.53709962   -    10.972432	8.53709962			5089.632
5153.571	5153.568		7.0				L17684	8.647160399  -    11.052284	8.647160399			5153.571
5155.292	5155.291		3.0				L17684	8.64039604   -    11.044716	8.64039604			5155.292
5155.3	5155.189		7.0				L2138c153	8.647160399  -   [11.051527]	8.647160399			5155.3
5159.92	5159.932		5.0				L17684	8.643023685  -    11.045181	8.643023685			5159.92
5268.956	5268.951	0.0053	3.0	1300000.0	C	T5520	L17684	8.53709962   -    10.889554	8.53709962	-1.7986028756795485	25.0	5268.956
5280.238	5280.232		3.0				L17684	8.53709962   -    10.884529	8.53709962			5280.238
5288.315	5288.321		5.0				L17684	8.643023685  -    10.986862	8.643023685			5288.315
	5290.993	5e-05	3.0	8000.0	D	T5520LS		8.64039604   -    10.983051	8.64039604	-3.8239087409443187	50.0	5290.993
5291.224	5291.193		5.0				L17684	8.643023685  -    10.985590	8.643023685			5291.224
5296.93	5296.934	0.0005	5.0	110000.0	D	T5520LS	L17684	8.643023685  -    10.983051	8.643023685	-2.6020599913279625	50.0	5296.93
5300.118	5300.125		3.0				L17684	8.53709962   -    10.8757182	8.53709962			5300.118
5300.55	5300.553		7.0				L17684	8.647160399  -    10.985590	8.647160399			5300.55
5300.845	5300.864	0.0008	3.0	190000.0	D	T5520LS	L17684	8.64039604   -    10.9786886	8.64039604	-2.619788758288394	50.0	5300.845
5302.352	5302.359	0.0011	3.0	800000.0	D	T5520LS	L17684	8.64039604   -    10.978030	8.64039604	-2.4814860601221125	50.0	5302.352
5303.13	5302.968		7.0				L2138c153	8.647160399  -   [10.984525]	8.647160399			5303.13
5306.315	5306.315	0.0019	7.0	600000.0	D	T5520LS	L17684	8.647160399  -    10.983051	8.647160399	-1.8761483590329142	50.0	5306.315
5306.837	5306.828	0.0014	5.0	600000.0	D	T5520LS	L17684	8.643023685  -    10.9786886	8.643023685	-2.154901959985743	50.0	5306.837
5317.465	5317.49505		3.0				L17684	7.68476777   -    10.01574721	7.68476777			5317.465
	5324.065		3.0				L17684	8.53709962   -    10.865203	8.53709962			5324.065
5380.3308	5380.33014	0.0081	3.0	1860000.0	B	T6070	L12175c183	7.68476777   -     9.98852478	7.68476777	-1.6143937264016879	10.0	5380.3308
5401.6	5400.9		5.0				L2138c153	8.850662829  -    11.14563	8.850662829			5401.6
5436.88	5436.88		5.0				L2138	8.850662829  -    11.13046	8.850662829			5436.88
5508.51	5508.19		3.0				L2138	8.848124381  -    11.098407	8.848124381			5508.51
5510.69	5510.63		5.0				L2138	8.850662829  -    11.09995	8.850662829			5510.69
