wavelength_air_A,model_flux
8.678101999999824329e+03,9.986039259257667444e-01
8.678103999999822918e+03,9.986173224905012802e-01
8.678105999999823325e+03,9.986304139740156405e-01
8.678107999999821914e+03,9.986432081394600591e-01
8.678109999999822321e+03,9.986557119703435292e-01
8.678111999999820910e+03,9.986679317482821672e-01
8.678113999999821317e+03,9.986798731465229562e-01
8.678115999999819905e+03,9.986915413190696755e-01
8.678117999999820313e+03,9.987029409687230297e-01
8.678119999999818901e+03,9.987140763930001386e-01
8.678121999999819309e+03,9.987249515191660709e-01
8.678123999999817897e+03,9.987355699405373599e-01
8.678125999999818305e+03,9.987459349636012007e-01
8.678127999999816893e+03,9.987560496707088564e-01
8.678129999999817301e+03,9.987659169861301534e-01
8.678131999999815889e+03,9.987755397213692321e-01
8.678133999999816297e+03,9.987849205883659875e-01
8.678135999999814885e+03,9.987940621943230957e-01
8.678137999999815293e+03,9.988029670439841912e-01
8.678139999999813881e+03,9.988116375602075214e-01
8.678141999999814288e+03,9.988200761138552597e-01
8.678143999999812877e+03,9.988282850506280397e-01
8.678145999999813284e+03,9.988362667064271117e-01
8.678147999999811873e+03,9.988440234081341629e-01
8.678149999999812280e+03,9.988515574641191330e-01
8.678151999999810869e+03,9.988588711569741374e-01
8.678153999999811276e+03,9.988659667515517038e-01
8.678155999999809865e+03,9.988728465147475033e-01
8.678157999999810272e+03,9.988795127285634567e-01
8.678159999999808861e+03,9.988859676841607138e-01
8.678161999999809268e+03,9.988922136613425096e-01
8.678163999999807857e+03,9.988982529080632222e-01
8.678165999999808264e+03,9.989040876300540051e-01
8.678167999999806852e+03,9.989097199927500226e-01
8.678169999999807260e+03,9.989151521337478190e-01
8.678171999999805848e+03,9.989203861764657244e-01
8.678173999999806256e+03,9.989254242312076704e-01
8.678175999999804844e+03,9.989302683789306192e-01
8.678177999999805252e+03,9.989349206487243560e-01
8.678179999999803840e+03,9.989393830065491642e-01
8.678181999999804248e+03,9.989436573598430291e-01
8.678183999999802836e+03,9.989477455675387363e-01
8.678185999999803244e+03,9.989516494447729933e-01
8.678187999999801832e+03,9.989553707584276632e-01
8.678189999999802239e+03,9.989589112159111828e-01
8.678191999999800828e+03,9.989622724534164000e-01
8.678193999999801235e+03,9.989654560327223543e-01
8.678195999999799824e+03,9.989684634536590835e-01
8.678197999999800231e+03,9.989712961754976250e-01
8.678199999999798820e+03,9.989739556296134415e-01
8.678201999999799227e+03,9.989764432135056493e-01
8.678203999999797816e+03,9.989787602734403471e-01
8.678205999999798223e+03,9.989809080920361017e-01
8.678207999999796812e+03,9.989828878893315389e-01
8.678209999999797219e+03,9.989847008345434931e-01
8.678211999999795808e+03,9.989863480624521230e-01
8.678213999999796215e+03,9.989878306868403834e-01
8.678215999999794803e+03,9.989891498039235040e-01
8.678217999999795211e+03,9.989903064854328552e-01
8.678219999999793799e+03,9.989913017705572829e-01
8.678221999999794207e+03,9.989921366686920212e-01
8.678223999999792795e+03,9.989928121733814281e-01
8.678225999999793203e+03,9.989933292760156958e-01
8.678227999999791791e+03,9.989936889699759792e-01
8.678229999999792199e+03,9.989938922448464709e-01
8.678231999999790787e+03,9.989939400769283218e-01
8.678233999999791195e+03,9.989938334229535588e-01
8.678235999999789783e+03,9.989935732227458454e-01
8.678237999999790190e+03,9.989931604136720322e-01
8.678239999999788779e+03,9.989925959493166641e-01
8.678241999999789186e+03,9.989918808074643719e-01
8.678243999999787775e+03,9.989910159802715128e-01
8.678245999999788182e+03,9.989900024549651647e-01
8.678247999999786771e+03,9.989888412007427165e-01
8.678249999999787178e+03,9.989875331682939175e-01
8.678251999999785767e+03,9.989860792962477198e-01
8.678253999999786174e+03,9.989844805167727992e-01
8.678255999999784763e+03,9.989827377549224119e-01
8.678257999999785170e+03,9.989808519195296777e-01
8.678259999999783759e+03,9.989788238882234550e-01
8.678261999999784166e+03,9.989766544944299609e-01
8.678263999999782754e+03,9.989743445245506948e-01
