canonical_line_id,historical_source_class,historical_gf_grade,verified_source_class,reference_membership,codex_membership,deep_membership,replication_membership,disposition_reason
alphys_I_2075.8200_0106,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2075.8980_0107,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.1790_0108,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.2360_0109,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.2549_0110,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.2660_0111,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.2758_0112,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.2968_0113,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.3188_0114,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.3418_0115,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.3658_0116,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.3898_0117,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.4158_0118,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.4428_0119,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2076.4709_0120,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
