element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,II,5408.81452,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),216.85,56.98,voigt,0.0235,False,
Ti,I,5409.6078,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),194.38,15.39,voigt,0.0165,False,
Fe,I,5410.90915,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),191.1,19.33,voigt,0.0223,False,
Ni,I,5411.21844,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),182.58,17.9,voigt,0.0208,False,
Ca,I,5412.91865,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),14.77,15.9,voigt,0.0108,False,
Ti,II,5418.7678,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.1,13.92,voigt,0.0083,False,
Cr,I,5420.04727,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),93.91,7.87,voigt,0.0066,False,
Fe,I,5435.02545,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),268.34,44.21,voigt,0.0227,False,
Fe,I,5438.0351,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),68.71,81.28,voigt,0.0057,False,
Fe,I,5439.9017,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.61,22.41,voigt,0.0016,False,
Fe,I,5452.60559,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),60.56,27.54,voigt,0.001,False,
Ti,I,5456.8933,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),171.01,81.8,voigt,0.0397,False,
Ti,I,5471.192,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),113.95,81.0,voigt,0.0063,False,
Ti,I,5474.223,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),101.41,7.53,voigt,0.0044,False,
Cr,I,5482.97816,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),122.29,54.6,voigt,0.0129,False,
Fe,I,5483.09845,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),73.85,12.73,voigt,0.0128,False,
Fe,I,5486.64485,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),156.94,41.46,voigt,0.0106,False,
Si,I,5488.98253,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),130.08,76.37,voigt,0.013,False,
Ti,I,5490.1477,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),33.42,4.65,voigt,0.0021,False,
