row,line_id,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf_before,loggf_reference_before,gf_tier_before,adjudication_status_before,n_candidates,verdict,nist_log_gf,nist_grade,nist_grades_all,nist_acc_pct,nist_tp_code,nist_wavelength_A,d_wavelength_A,d_ep_eV,delta_nist_minus_store,matched,gf_authority,gf_method,gf_vintage,is_laboratory
1636,gf_001636,C I,4946.604,7.483,1,-3.913,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1637,gf_001637,C I,4949.647,8.537,1,-2.361,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1638,gf_001638,C I,4950.172,8.643,1,-0.763,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1639,gf_001639,C I,4950.518,8.643,1,-0.453,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1640,gf_001640,C I,4958.711,8.647,1,-3.033,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1641,gf_001641,C I,4975.274,8.64,1,-2.782,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1642,gf_001642,C I,4977.848,8.64,1,-2.667,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1643,gf_001643,C I,4980.528,8.643,1,-2.363,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1644,gf_001644,C I,4981.536,8.643,1,-2.714,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1645,gf_001645,C I,4983.0265,8.643,2,-1.7942,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1646,gf_001646,C I,4989.832,8.647,1,-2.707,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1647,gf_001647,C I,4991.3761,8.647,2,-1.6929,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
