separation_A,depth_ratio,noise,catalogue_error_A,realisation,true_ew_A,ew_two_A,ew_one_A,err_two,err_one,interloper_depth,chi2_two,chi2_one
0.02,0.1,0.0005,0.03,3,0.03871518746591226,0.0422492589355106,0.042605386545493666,0.09128385269243497,0.10048250658754086,0.0026683540787852695,2.470291172391635e-07,2.5313853637295256e-07
0.02,0.1,0.0005,0.03,4,0.03871518746591226,0.042311307708665646,0.04256242104986421,0.09288655119956944,0.09937272258695239,0.0018808031923931952,2.664178756948233e-07,2.690981191160418e-07
0.02,0.1,0.0005,0.03,5,0.03871518746591226,0.04238979024819146,0.04258409295423662,0.09491372824978811,0.09993250043618754,0.0014545943535134414,2.1864192487799822e-07,2.2007506284003593e-07
0.02,0.1,0.0005,0.03,6,0.03871518746591226,0.042434942422999056,0.04259103331285739,0.09607999342278653,0.1001117675165003,0.001166899303372531,2.4221860407362704e-07,2.4288125503149265e-07
0.02,0.1,0.0005,0.03,7,0.03871518746591226,0.04224050266932959,0.042599641133162794,0.09105768134330444,0.10033410455963047,0.00269128742709397,2.516203312594013e-07,2.5792706143306265e-07
0.02,0.1,0.0005,0.03,8,0.03871518746591226,0.042418568412695416,0.04259897016620062,0.09565705835839981,0.10031677371336344,0.0013486073159477015,2.6918016227758015e-07,2.7021944978670414e-07
0.02,0.1,0.0005,0.03,9,0.03871518746591226,0.042168822373551525,0.04258846121173681,0.0892062039136477,0.10004533102764569,0.003146679603720882,2.512153764349805e-07,2.6000579122851084e-07
0.02,0.1,0.0005,0.03,10,0.03871518746591226,0.04242782707970057,0.04259758975003427,0.09589620654832665,0.10028111803773047,0.0012703004537894936,2.3342942693149323e-07,2.343457084580557e-07
0.02,0.1,0.0005,0.03,11,0.03871518746591226,0.04230154188179419,0.042592850494992854,0.09263430324442125,0.10015870470715865,0.002180413118462037,2.710891138044082e-07,2.7498419722881396e-07
0.02,0.1,0.0005,0.05,0,0.03871518746591226,0.04247768366444537,0.04262127752660076,0.09718398501481862,0.10089296517362126,0.0010082771533183933,2.420161809715893e-07,2.409542665149765e-07
0.02,0.1,0.0005,0.05,1,0.03871518746591226,0.0424272082010397,0.042570926502063136,0.0958802211249986,0.09959241549703868,0.001010638440201918,2.448626353608873e-07,2.441750103548785e-07
0.02,0.1,0.0005,0.05,2,0.03871518746591226,0.04243248847322466,0.04257478050471786,0.09601660874263851,0.09969196306239955,0.0010006783711089251,2.474082081455684e-07,2.4761377069069454e-07
0.02,0.1,0.0005,0.05,3,0.03871518746591226,0.042480797184433164,0.042623242398865877,0.09726440616712574,0.10094371714962148,0.0010003022268273262,2.3634832075516414e-07,2.3598224013941958e-07
0.02,0.1,0.0005,0.05,4,0.03871518746591226,0.04245709678076763,0.04259955256126838,0.09665223287760208,0.10033181677800745,0.0010010971780663078,2.506569306200636e-07,2.463665008428827e-07
0.02,0.1,0.0005,0.05,5,0.03871518746591226,0.042464232555594374,0.042607633432345415,0.09683654749142193,0.10054054290348864,0.0010066763669621147,2.750025286876527e-07,2.7350836639766087e-07
0.02,0.1,0.0005,0.05,6,0.03871518746591226,0.04246498553363996,0.042607711487514716,0.09685599665581643,0.10054255904171266,0.0010033250032599663,2.953099160938926e-07,2.926343124381873e-07
0.02,0.1,0.0005,0.05,7,0.03871518746591226,0.04243715281459859,0.04259676460328676,0.09613708707889963,0.10025980478054343,0.0011227225525927878,2.565458913656622e-07,2.617473151384186e-07
0.02,0.1,0.0005,0.05,8,0.03871518746591226,0.04242752017729752,0.04257504865359449,0.09588827936462602,0.09969888925581828,0.00103676743463431,2.1724149037787843e-07,2.2092072268850278e-07
0.02,0.1,0.0005,0.05,9,0.03871518746591226,0.04245327369625497,0.04259563662157082,0.09655348391723538,0.10023066940009527,0.0010003326505047502,2.760202454957386e-07,2.7562959165042865e-07
0.02,0.1,0.0005,0.05,10,0.03871518746591226,0.042447465587959324,0.04259282862947217,0.09640346247408053,0.10015813992826651,0.001021323654565419,2.8610418182712135e-07,2.8905272514340003e-07
0.02,0.1,0.0005,0.05,11,0.03871518746591226,0.04243686949981241,0.04260260513648352,0.09612976915524424,0.10041066374776139,0.0011654901436991113,2.630370489730266e-07,2.6883921354690865e-07
0.02,0.1,0.002,0.0,0,0.03871518746591226,0.04234618392213102,0.042476007449626915,0.09378739181918626,0.09714068896155968,0.0010004218464505475,4.114355466502818e-06,4.103891203755667e-06
0.02,0.1,0.002,0.0,1,0.03871518746591226,0.031095910896689973,0.04246242164248784,0.19680329782545583,0.09678977222762843,0.08985526300044266,3.855575572067437e-06,3.8756307037859575e-06
0.02,0.1,0.002,0.0,2,0.03871518746591226,0.03690102825887432,0.04248074267368787,0.046859109455049376,0.09726299817329023,0.043408237257120695,3.714035416554619e-06,3.7122434636872703e-06
0.02,0.1,0.002,0.0,3,0.03871518746591226,0.025091602769613575,0.042609686010618666,0.3518925152640396,0.10059356029556658,0.14267619739165782,3.915289638358483e-06,3.9461375112396345e-06
