line_id,species,wavelength_air_A,wavelength_vac_A,EP_eV,our_log_gf,our_tier,match,primary_log_gf,delta_dex,primary_label,primary_source,graded
gf_006308,CH,4267.383,4268.5841,0.096,-1.58,VALD3,UNIQUE,-1.5748,-0.0052,R -0.00123,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006309,CH,4267.588,4268.7891,0.0954,-3.529,VALD3,ABSENT,,,,,NO
gf_006310,CH,4267.5929,4268.7940,0.871,-1.5104,VALD3,UNIQUE,-1.5223,+0.0119,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006311,CH,4267.7652,4268.9664,0.0962,-1.2477,VALD3,AMBIGUOUS(2),,,,,NO
gf_006312,CH,4268.1014,4269.3027,0.096,-1.5104,VALD3,AMBIGUOUS(2),,,,,NO
gf_006313,CH,4268.304,4269.5053,0.0959,-3.48,VALD3,ABSENT,,,,,NO
gf_006314,CH,4269.468,4270.6696,0.4311,-1.619,VALD3,UNIQUE,-1.6143,-0.0047,R  0.00713,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006315,CH,4269.618,4270.8196,0.4296,-3.568,VALD3,ABSENT,,,,,NO
gf_006316,CH,4269.8372,4271.0389,0.4314,-1.2865,VALD3,AMBIGUOUS(3),,,,,NO
gf_006317,CH,4269.9806,4271.1823,0.4299,-3.2418,VALD3,ABSENT,,,,,NO
gf_006318,CH,4270.1671,4271.3689,0.4316,-1.5588,VALD3,AMBIGUOUS(2),,,,,NO
gf_006319,CH,4270.305,4271.5068,0.4301,-3.52,VALD3,ABSENT,,,,,NO
gf_006320,CH,4270.687,4271.8889,0.6929,-3.627,VALD3,UNIQUE,-3.6215,-0.0055,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006321,CH,4270.799,4272.0010,0.693,-3.611,VALD3,UNIQUE,-3.6059,-0.0051,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006322,CH,4271.0534,4272.2554,0.8356,-1.5521,VALD3,UNIQUE,-1.5516,-0.0005,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006323,CH,4271.2515,4272.4536,0.8363,-1.5102,VALD3,AMBIGUOUS(2),,,,,NO
gf_006324,CH,4271.7692,4272.9714,0.8361,-1.5521,VALD3,UNIQUE,-1.5515,-0.0006,R -0.01793,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006325,CH,4271.9221,4273.1244,0.8367,-1.5099,VALD3,AMBIGUOUS(2),,,,,NO
gf_006326,CH,4273.384,4274.5866,1.1474,-0.946,VALD3,UNIQUE,-0.9406,-0.0054,Q  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
