line_id,species,wavelength_air_A,EP_eV,match,nist_grade,gf_sigma_dex,our_log_gf,nist_log_gf,delta_dex,action
gf_001790,C I,5323.776,8.771,ABSENT,,,-3.015,,,no evidence attached
gf_001791,C I,5324.066,8.537,ABSENT,,,-2.125,,,no evidence attached
gf_001792,C I,5325.912,8.771,ABSENT,,,-3.836,,,no evidence attached
gf_001793,C I,5326.919,8.847,ABSENT,,,-2.768,,,no evidence attached
gf_001794,C I,5327.169,8.771,ABSENT,,,-2.947,,,no evidence attached
gf_001795,C I,5330.44,8.848,ABSENT,,,-2.75,,,no evidence attached
gf_001796,C I,5330.546,8.647,ABSENT,,,-4.276,,,no evidence attached
gf_001797,C I,5336.264,8.851,ABSENT,,,-3.68,,,no evidence attached
gf_001798,C I,5336.962,8.851,ABSENT,,,-2.055,,,no evidence attached
gf_001799,C I,5340.013,10.796,ABSENT,,,-3.367,,,no evidence attached
gf_001800,C I,5343.859,8.771,ABSENT,,,-2.806,,,no evidence attached
gf_001801,C I,5345.104,8.771,ABSENT,,,-2.76,,,no evidence attached
gf_001802,C I,5345.588,8.847,ABSENT,,,-2.251,,,no evidence attached
gf_001803,C I,5347.37,10.8,ABSENT,,,-2.916,,,no evidence attached
gf_001804,C I,5349.132,8.848,ABSENT,,,-3.359,,,no evidence attached
gf_001805,C I,5349.675,8.771,ABSENT,,,-3.763,,,no evidence attached
gf_001806,C I,5350.258,10.801,ABSENT,,,-2.68,,,no evidence attached
gf_001807,C I,5354.998,8.851,ABSENT,,,-3.45,,,no evidence attached
gf_001808,C I,5355.787,8.851,ABSENT,,,-2.314,,,no evidence attached
gf_001809,C I,5368.374,8.847,ABSENT,,,-3.221,,,no evidence attached
gf_001810,C I,5374.346,8.848,ABSENT,,,-1.034,,,no evidence attached
gf_001811,C I,5377.865,8.851,ABSENT,,,-3.463,,,no evidence attached
gf_001812,C I,5378.91,8.851,ABSENT,,,-0.912,,,no evidence attached
gf_001813,C I,5380.2304,8.851,ABSENT,,,-1.0273,,,no evidence attached
gf_001814,C I,5380.325,7.685,UNIQUE,B,0.0458,-1.615,-1.6144,-0.0006,evidence attached; log_gf UNCHANGED
gf_001815,C I,5380.508,10.814,ABSENT,,,-4.703,,,no evidence attached
gf_001816,C I,5388.226,8.847,ABSENT,,,-1.183,,,no evidence attached
gf_001817,C I,5391.828,8.848,ABSENT,,,-3.405,,,no evidence attached
gf_001818,C I,5397.787,8.851,ABSENT,,,-1.752,,,no evidence attached
gf_001819,C I,5398.198,8.851,ABSENT,,,-1.212,,,no evidence attached
