line_id,species,wavelength_air_A,EP_eV,match,nist_grade,gf_sigma_dex,our_log_gf,nist_log_gf,delta_dex,action
gf_001583,C I,4791.741,7.946,ABSENT,,,-3.304,,,no evidence attached
gf_001584,C I,4792.41,7.946,ABSENT,,,-3.975,,,no evidence attached
gf_001585,C I,4792.565,8.537,ABSENT,,,-4.11,,,no evidence attached
gf_001586,C I,4792.664,7.946,ABSENT,,,-3.365,,,no evidence attached
gf_001587,C I,4795.863,7.946,ABSENT,,,-4.592,,,no evidence attached
gf_001588,C I,4796.118,7.946,ABSENT,,,-3.392,,,no evidence attached
gf_001589,C I,4812.917,7.48,UNIQUE,C,0.1249,-3.377,-3.3768,-0.0002,evidence attached; log_gf UNCHANGED
gf_001590,C I,4815.223,7.946,ABSENT,,,-3.579,,,no evidence attached
gf_001591,C I,4815.48,7.946,ABSENT,,,-4.247,,,no evidence attached
gf_001592,C I,4817.373,7.483,UNIQUE,C,0.1249,-3.039,-3.0458,+0.0068,evidence attached; log_gf UNCHANGED
gf_001593,C I,4826.795,7.488,UNIQUE,C,0.1249,-3.182,-3.1871,+0.0051,evidence attached; log_gf UNCHANGED
gf_001594,C I,4836.765,8.537,ABSENT,,,-2.479,,,no evidence attached
gf_001595,C I,4837.502,8.537,ABSENT,,,-3.397,,,no evidence attached
gf_001596,C I,4839.265,8.537,ABSENT,,,-2.99,,,no evidence attached
gf_001597,C I,4840.303,8.537,ABSENT,,,-2.932,,,no evidence attached
gf_001598,C I,4846.17,10.56,ABSENT,,,-3.136,,,no evidence attached
gf_001599,C I,4850.717,10.562,ABSENT,,,-2.666,,,no evidence attached
gf_001600,C I,4853.039,8.537,ABSENT,,,-3.542,,,no evidence attached
gf_001601,C I,4854.078,8.537,ABSENT,,,-2.808,,,no evidence attached
gf_001602,C I,4854.177,10.564,ABSENT,,,-2.444,,,no evidence attached
gf_001603,C I,4855.106,8.537,ABSENT,,,-2.559,,,no evidence attached
gf_001604,C I,4858.876,8.537,ABSENT,,,-2.293,,,no evidence attached
gf_001605,C I,4888.9098,7.4815,ABSENT,,,-1.6818,,,no evidence attached
gf_001606,C I,4890.653,7.488,ABSENT,,,-1.541,,,no evidence attached
gf_001607,C I,4893.299,8.64,ABSENT,,,-2.702,,,no evidence attached
gf_001608,C I,4893.445,7.483,ABSENT,,,-2.275,,,no evidence attached
gf_001609,C I,4898.642,7.488,ABSENT,,,-2.216,,,no evidence attached
gf_001610,C I,4898.969,8.643,ABSENT,,,-2.638,,,no evidence attached
gf_001611,C I,4900.859,10.588,ABSENT,,,-4.876,,,no evidence attached
gf_001612,C I,4903.167,7.488,ABSENT,,,-3.32,,,no evidence attached
gf_001613,C I,4906.992,8.647,ABSENT,,,-2.454,,,no evidence attached
gf_001614,C I,4909.047,8.64,ABSENT,,,-2.969,,,no evidence attached
gf_001615,C I,4914.162,8.643,ABSENT,,,-2.938,,,no evidence attached
gf_001616,C I,4914.826,8.643,ABSENT,,,-2.002,,,no evidence attached
gf_001617,C I,4921.404,8.537,ABSENT,,,-3.453,,,no evidence attached
gf_001618,C I,4922.696,8.537,ABSENT,,,-2.418,,,no evidence attached
gf_001619,C I,4922.901,8.647,ABSENT,,,-3.601,,,no evidence attached
gf_001620,C I,4923.314,8.537,ABSENT,,,-3.742,,,no evidence attached
gf_001621,C I,4926.429,8.537,ABSENT,,,-3.02,,,no evidence attached
gf_001622,C I,4928.054,8.537,ABSENT,,,-3.627,,,no evidence attached
gf_001623,C I,4928.257,8.64,ABSENT,,,-1.6,,,no evidence attached
gf_001624,C I,4930.274,8.64,ABSENT,,,-1.291,,,no evidence attached
gf_001625,C I,4932.049,7.685,UNIQUE,B,0.0458,-1.658,-1.6596,+0.0016,evidence attached; log_gf UNCHANGED
gf_001626,C I,4933.412,8.643,ABSENT,,,-1.258,,,no evidence attached
gf_001627,C I,4934.291,8.643,ABSENT,,,-1.538,,,no evidence attached
