wavelength_air_A,flux_normalized
1.502153757376498834e+04,9.137905059538112829e-01
1.502158953864814794e+04,9.020987472522169481e-01
1.502164150256263747e+04,8.975584765714925695e-01
1.502169346550843147e+04,8.745030269139093537e-01
1.502174542748548447e+04,8.505754403388929852e-01
1.502179738849376918e+04,8.096166189443134709e-01
1.502184934853324739e+04,7.606432942796357288e-01
1.502190130760388274e+04,6.930281648950837869e-01
1.502195326570563520e+04,6.082758120176393613e-01
1.502200522283848659e+04,5.028283998650129316e-01
1.502205717900238415e+04,4.062044206542335112e-01
1.502210913419730059e+04,3.505087551511168464e-01
1.502216108842319591e+04,3.598502051313504646e-01
1.502221304168004463e+04,4.264961384678383483e-01
1.502226499396779764e+04,5.183065559871599115e-01
1.502231694528643129e+04,6.090884524231412467e-01
1.502236889563590739e+04,6.782738747690983949e-01
1.502242084501618592e+04,7.317175037579027874e-01
1.502247279342723778e+04,7.783083311698708595e-01
1.502252474086902657e+04,8.159672408372220520e-01
1.502257668734151230e+04,8.405845021575091280e-01
1.502262863284466221e+04,8.488254403477074606e-01
1.502268057737844356e+04,8.674842691621271751e-01
1.502273252094282543e+04,8.716315732331291199e-01
1.502278446353775871e+04,8.756316835944538690e-01
1.502283640516322339e+04,8.799734196031832045e-01
1.502288834581917399e+04,8.823922937507900910e-01
1.502294028550558141e+04,8.791756203418592541e-01
1.502299222422240200e+04,8.724658601516896983e-01
1.502304416196961029e+04,8.631519825995613848e-01
1.502309609874716989e+04,8.633348871912825961e-01
1.502314803455503534e+04,8.677364380162356783e-01
1.502319996939318298e+04,8.691929671054090534e-01
1.502325190326157463e+04,8.689140983250628336e-01
1.502330383616017207e+04,8.681059586040444920e-01
1.502335576808894075e+04,8.717045742941071929e-01
1.502340769904784793e+04,8.656133038453128759e-01
1.502345962903685722e+04,8.598788554719961619e-01
1.502351155805593407e+04,8.508784444248900236e-01
1.502356348610504574e+04,8.524382973101317651e-01
1.502361541318414675e+04,8.414135554599182498e-01
1.502366733929321344e+04,8.332552232039160955e-01
1.502371926443220218e+04,8.255133580182820729e-01
