wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,intensity
4256.66,23492.5975,23486.188,1.005209
4256.665,23492.5699,23486.1604,1.004623
4256.67,23492.5423,23486.1328,1.004175
4256.675,23492.5147,23486.1052,1.003893
4256.68,23492.4871,23486.0777,1.003781
4256.685,23492.4595,23486.0501,1.003806
4256.69,23492.4319,23486.0225,1.003918
4256.695,23492.4043,23485.9949,1.004046
4256.7,23492.3767,23485.9673,1.004111
4256.705,23492.3491,23485.9397,1.00404
4256.71,23492.3215,23485.9121,1.003769
4256.715,23492.2939,23485.8846,1.003263
4256.72,23492.2663,23485.857,1.002506
4256.725,23492.2388,23485.8294,1.001519
4256.73,23492.2112,23485.8018,1.000359
4256.735,23492.1836,23485.7742,0.999109
4256.74,23492.156,23485.7466,0.997874
4256.745,23492.1284,23485.719,0.99677
4256.75,23492.1008,23485.6914,0.995904
4256.755,23492.0732,23485.6639,0.995366
4256.76,23492.0456,23485.6363,0.995209
4256.765,23492.018,23485.6087,0.995449
4256.77,23491.9904,23485.5811,0.996055
4256.775,23491.9628,23485.5535,0.996955
4256.78,23491.9352,23485.5259,0.998047
4256.785,23491.9076,23485.4983,0.999211
4256.79,23491.88,23485.4708,1.000322
4256.795,23491.8524,23485.4432,1.001271
4256.8,23491.8248,23485.4156,1.001962
4256.805,23491.7973,23485.388,1.002339
4256.81,23491.7697,23485.3604,1.00237
4256.815,23491.7421,23485.3328,1.002062
4256.82,23491.7145,23485.3052,1.001444
4256.825,23491.6869,23485.2777,1.000571
4256.83,23491.6593,23485.2501,0.999512
4256.835,23491.6317,23485.2225,0.998344
4256.84,23491.6041,23485.1949,0.997142
4256.845,23491.5765,23485.1673,0.995973
4256.85,23491.5489,23485.1397,0.994902
4256.855,23491.5213,23485.1121,0.993979
4256.86,23491.4937,23485.0846,0.993237
4256.865,23491.4661,23485.057,0.992706
4256.87,23491.4385,23485.0294,0.992404
4256.875,23491.411,23485.0018,0.992341
4256.88,23491.3834,23484.9742,0.992522
4256.885,23491.3558,23484.9466,0.99295
4256.89,23491.3282,23484.9191,0.993617
4256.895,23491.3006,23484.8915,0.994509
4256.9,23491.273,23484.8639,0.995591
4256.905,23491.2454,23484.8363,0.996814
4256.91,23491.2178,23484.8087,0.998109
4256.915,23491.1902,23484.7811,0.999389
4256.92,23491.1626,23484.7535,1.000556
4256.925,23491.135,23484.726,1.001511
4256.93,23491.1074,23484.6984,1.002171
4256.935,23491.0798,23484.6708,1.002478
4256.94,23491.0523,23484.6432,1.002406
4256.945,23491.0247,23484.6156,1.001972
4256.95,23490.9971,23484.588,1.001232
4256.955,23490.9695,23484.5605,1.000273
4256.96,23490.9419,23484.5329,0.999194
4256.965,23490.9143,23484.5053,0.99811
4256.97,23490.8867,23484.4777,0.99712
4256.975,23490.8591,23484.4501,0.996301
4256.98,23490.8315,23484.4225,0.995709
4256.985,23490.8039,23484.395,0.995372
4256.99,23490.7763,23484.3674,0.995289
4256.995,23490.7488,23484.3398,0.995441
4257.0,23490.7212,23484.3122,0.99579
4257.005,23490.6936,23484.2846,0.9963
4257.01,23490.666,23484.257,0.996929
4257.015,23490.6384,23484.2295,0.997636
4257.02,23490.6108,23484.2019,0.998397
4257.025,23490.5832,23484.1743,0.999183
