band,element,ion,treatment,deck,n_lines,n_ep_joined,tol_A,use_ep,n_unique,n_absent,n_ambiguous,baseline_n_unique,baseline_kept,baseline_reidentified,src
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.005,False,10,0,1,10,10,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.005,True,11,0,0,10,10,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.01,False,10,0,1,10,10,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.01,True,11,0,0,10,10,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.02,False,9,0,2,10,9,1,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.02,True,11,0,0,10,10,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.03,False,9,0,2,10,9,1,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.03,True,11,0,0,10,10,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.05,False,7,0,4,10,7,3,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,11,0.05,True,11,0,0,10,10,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.005,False,3,0,0,3,3,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.005,True,3,0,0,3,3,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.01,False,3,0,0,3,3,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.01,True,3,0,0,3,3,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.02,False,2,0,1,3,2,1,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.02,True,3,0,0,3,3,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.03,False,2,0,1,3,2,1,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.03,True,3,0,0,3,3,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.05,False,1,0,2,3,1,2,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,3,0.05,True,3,0,0,3,3,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
