wavelength_air_A,flux
8.627525366568994286e+03,9.932952523231506348e-01
8.627536273070274547e+03,9.936479926109313965e-01
8.627547906702036926e+03,9.939559698104858398e-01
8.627558813260307943e+03,9.935953617095947266e-01
8.627570446952855491e+03,9.935613274574279785e-01
8.627581353568111808e+03,9.939230084419250488e-01
8.627592987321451801e+03,9.939392805099487305e-01
8.627603893993697056e+03,9.940437078475952148e-01
8.627614800693520010e+03,9.944637417793273926e-01
8.627626434537054593e+03,9.946547150611877441e-01
8.627637341293868303e+03,9.943525195121765137e-01
8.627648975198195330e+03,9.939426183700561523e-01
8.627659882011999798e+03,9.936001300811767578e-01
8.627671515977119270e+03,9.934710860252380371e-01
8.627682422847910857e+03,9.937264323234558105e-01
8.627693329746280142e+03,9.938935637474060059e-01
8.627704963801599661e+03,9.940125942230224609e-01
8.627715870756959703e+03,9.943453669548034668e-01
8.627727504873073485e+03,9.945034384727478027e-01
8.627738411885426103e+03,9.943513870239257812e-01
8.627750046062328693e+03,9.939789175987243652e-01
8.627760953131672068e+03,9.936402440071105957e-01
8.627771860228593141e+03,9.935927391052246094e-01
8.627783494495706691e+03,9.938000440597534180e-01
8.627794401649620340e+03,9.940217137336730957e-01
8.627806035977520878e+03,9.938739538192749023e-01
8.627816943188430741e+03,9.936898350715637207e-01
8.627828577577127362e+03,9.935440421104431152e-01
8.627839484845027982e+03,9.932343363761901855e-01
8.627850392140504482e+03,9.928714632987976074e-01
8.627862026619412063e+03,9.927247166633605957e-01
8.627872933971882958e+03,9.927037358283996582e-01
8.627884568511582984e+03,9.920116066932678223e-01
8.627895475921050092e+03,9.910731315612792969e-01
8.627907110521546201e+03,9.900931715965270996e-01
8.627918017988007705e+03,9.889072179794311523e-01
8.627928925482048726e+03,9.881237745285034180e-01
8.627940560172755795e+03,9.877020120620727539e-01
8.627951467723791211e+03,9.870586991310119629e-01
