wavelength_air_A,status,A0,ew_lo,ew_mid,ew_hi,rew,d_rew_dA,recovered_from_ceiling
6355.0277,ok,7.45,79.35326427424766,84.02839103540161,88.65314362721277,-4.878691400067669,0.2406467182007388,True
6358.6602,ok,7.45,92.17278445749075,99.211512279371,106.00127806764071,-4.806803547743983,0.30354197145179285,True
6362.8754,ok,7.45,77.71960591702933,81.39992954096745,85.28384924492048,-4.893029389848525,0.20168101991565934,False
6364.3636,ok,7.45,60.691414430145265,68.23715032953645,76.4338943065559,-4.969734101347246,0.5007936424472936,False
6380.7428,ok,7.45,59.57002753230832,64.25595395164864,68.92385894600484,-4.99695786353116,0.31670892073214385,False
6383.7149,ok,7.45,19.149310974871472,20.616550229986814,22.353989466137023,-5.490857486485165,0.33600945009546024,False
6385.7172,ok,7.45,56.30520192217238,62.12099252631542,68.1817589049677,-5.011971295349898,0.4155984018931447,False
6392.5374,ok,7.45,36.45463155547329,39.66964117520252,43.373356756871054,-5.207215005419742,0.3773516061014748,False
6408.017,ok,7.45,122.18560290177032,129.31479223635287,136.6817366694554,-4.6950754488392725,0.24345226083026583,True
6416.9258,ok,7.45,63.85678768223679,68.47875013840552,73.14254644368917,-4.971771192421402,0.29481504294548655,False
6419.9483,ok,7.45,104.62788343869248,113.14809866226983,122.18976797387444,-4.753884270220101,0.33693700120816406,True
6436.4055,ok,7.45,17.653568216863672,18.990979146028877,20.60774424976545,-5.530096040398849,0.33598977919913064,False
6469.1172,ok,7.45,66.18179897982584,72.63183795256309,79.2636248226763,-4.9497179851123505,0.3916768056123532,False
6469.1917,ok,7.45,66.25703992385773,72.7082008145026,79.34120808771367,-4.949266622640951,0.3913338968730884,False
6475.6235,ok,7.45,58.548376105254725,63.36402272619132,68.10209934372432,-5.009438849386579,0.3282282292798677,True
6481.8694,ok,7.45,74.41712874653547,80.07349614385356,85.82352326869517,-4.908211485447848,0.3096671495298742,False
6483.9436,ok,7.45,33.13790433807443,35.897710845626314,39.03971020036794,-5.256772473503294,0.35590772627914546,False
6495.7409,ok,7.45,70.11261627316203,78.81955536181943,88.10339840001862,-4.915994712994302,0.4959824373650168,False
6498.9379,ok,7.45,69.38988022193999,73.93367550115754,78.44150945782292,-4.944000090096858,0.26624902209677725,False
6518.3653,ok,7.45,98.7679712149228,103.44561758797171,108.04399744430731,-4.79942659862985,0.19492255459425567,False
6533.9276,ok,7.45,52.35546433630585,56.82918438989446,61.537254742618444,-5.060602894798883,0.35088051116290986,False
6569.2137,ok,7.45,159.92216761307213,164.33288300872164,168.6857370885309,-4.601788915473468,0.1158484775944757,True
6574.2262,ok,7.45,73.96293384092995,77.59376199080015,81.53302164092632,-4.928017834464987,0.21159704003475555,False
6575.0153,ok,7.45,103.44061733748622,107.79131540569966,112.03836783431082,-4.785312995996083,0.17337834832816368,True
6581.2087,ok,7.45,50.37579436892671,53.54140757139976,57.082074386184175,-5.089615878806157,0.2713891981885186,False
6591.3124,ok,7.45,29.45562960070708,31.100180636150665,33.05490975573463,-5.32620898432333,0.25033832899398645,False
6593.8691,ok,7.45,98.96642532747934,104.13867951193443,109.38324681245689,-4.801528254896267,0.2173146327144937,True
6597.5588,ok,7.45,56.09616948440181,60.83241261330588,65.70630401840441,-5.035248228587644,0.34336916121038286,False
6604.5854,ok,7.45,51.6830086411669,52.345990539890124,53.14835310445427,-5.100962137811831,0.06071012113103347,False
6608.0246,ok,7.45,28.919401238231153,31.68879802573546,34.86751846399004,-5.319165884619378,0.4061587134455147,False
6609.1093,ok,7.45,93.96567119289386,102.74698064634858,112.02476958940873,-4.808373865769247,0.38172419541414815,False
6613.4154,ok,7.45,32.00827077528506,33.684788608967864,35.689031401090816,-5.292991976089745,0.23636274530949297,False
6625.0211,ok,7.45,38.62674436971084,41.260522980252645,44.307618897358694,-5.205652537406138,0.29795153053519874,False
