wavelength_air_A,flux_normalized,n_frames,min_mtrans
19537.9087,1.000041,1,0.5449
19537.9763,0.991438,1,0.5451
19538.0439,0.98658,1,0.5405
19538.1115,0.988919,1,0.5307
19538.179,0.991856,1,0.5151
19540.0713,0.995277,1,0.5233
19540.1389,0.980544,1,0.5736
19540.2065,0.972262,1,0.6137
19540.2741,0.978347,1,0.6453
19540.3416,0.9615,1,0.6708
19540.4092,0.956531,1,0.6915
19540.4768,0.950509,1,0.7086
19540.5444,0.943794,1,0.7231
19540.612,0.942357,1,0.736
19540.6795,0.946793,1,0.7472
19540.7471,0.961964,1,0.7566
19540.8147,0.957913,1,0.7646
19540.8823,0.969746,1,0.7712
19540.9499,0.966884,1,0.7765
19541.0175,0.976247,1,0.7803
19541.085,0.973964,1,0.7825
19541.1526,0.98383,1,0.7827
19541.2202,0.982806,1,0.7806
19541.2878,0.983261,1,0.7758
19541.3554,0.986753,1,0.7682
19541.4229,0.990593,1,0.7585
19541.4905,0.999219,1,0.7472
19541.5581,0.994257,1,0.7343
19541.6257,0.997674,1,0.7179
19541.6933,0.995609,1,0.697
19541.7608,0.995968,1,0.6741
19541.8284,0.987484,1,0.6561
19541.896,0.994231,1,0.6504
19541.9636,1.002732,1,0.6594
19542.0312,1.000157,1,0.6783
19542.0988,1.015863,1,0.6991
19542.1663,1.006591,1,0.7155
19542.2339,1.014541,1,0.7248
19542.3015,1.006292,1,0.7264
19542.3691,1.001479,1,0.7211
