element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Mg,I,3821.993,178.71,71.63,0.166,0.857,-4.3301,32,0.913,SYNTH_ROUTED,Mg: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,3822.0229,185.5,74.24,0.1671,0.857,-4.3139,31,0.913,SATURATED_REW,REW -4.314 > -4.9
Cr,I,3822.0919,202.68,79.28,0.1731,0.7855,-4.2755,30,0.913,SATURATED_REW,REW -4.275 > -4.9
Fe,I,3822.2104,33.49,24.24,0.1929,0.7546,-5.0574,27,0.719,EW_ERR_EXCESS,err/EW 0.72 > 0.5
Ni,I,3822.3754,32.9,22.93,0.1933,0.8002,-5.0651,6,0.356,EW_ERR_EXCESS,err/EW 0.70 > 0.5
Zr,I,3822.41,32.9,22.77,0.1934,0.6652,-5.0651,6,0.356,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3822.4421,32.9,22.69,0.1934,0.6179,-5.0651,4,0.351,EW_ERR_EXCESS,err/EW 0.69 > 0.5
Fe,I,3822.8399,21.85,27.94,0.2088,0.7342,-5.2429,5,0.551,EW_ERR_EXCESS,err/EW 1.28 > 0.5
Ti,I,3822.8607,21.82,28.23,0.21,0.7342,-5.2435,4,0.762,EW_ERR_EXCESS,err/EW 1.29 > 0.5
V,I,3822.8888,22.04,28.81,0.2122,0.7342,-5.2392,4,0.762,EW_ERR_EXCESS,err/EW 1.31 > 0.5
Fe,I,3822.9936,22.82,29.88,0.218,0.7076,-5.2241,5,0.551,EW_ERR_EXCESS,err/EW 1.31 > 0.5
Fe,I,3823.122,13.15,20.8,0.2222,0.7227,-5.4635,5,0.551,EW_ERR_EXCESS,err/EW 1.58 > 0.5
Ti,I,3823.2367,10.14,20.31,0.2258,0.649,-5.5764,21,0.904,EW_ERR_EXCESS,err/EW 2.00 > 0.5
Ti,I,3823.3155,69.4,27.72,0.2149,0.6158,-4.7411,21,0.904,SATURATED_REW,REW -4.741 > -4.9
Ca,I,3823.3204,69.38,27.71,0.2145,0.6194,-4.7412,21,0.904,SATURATED_REW,REW -4.741 > -4.9
Fe,I,3823.3464,69.51,27.74,0.2142,0.6194,-4.7404,20,0.904,SATURATED_REW,REW -4.740 > -4.9
Mn,I,3823.4949,67.33,26.66,0.2048,0.9317,-4.7543,6,0.626,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3823.5181,67.94,26.84,0.2061,0.9317,-4.7503,20,0.904,SATURATED_REW,REW -4.750 > -4.9
Fe,I,3828.3924,76.56,44.86,0.2286,0.7508,-4.699,17,0.827,SATURATED_REW,REW -4.699 > -4.9
