wavelength_air_A,model_flux
8.211039999999822612e+03,9.935184075340824927e-01
8.211041999999823020e+03,9.933718866071177267e-01
8.211043999999821608e+03,9.932220075609442533e-01
8.211045999999822016e+03,9.930688678576066186e-01
8.211047999999820604e+03,9.929125812106075477e-01
8.211049999999821011e+03,9.927532776412753002e-01
8.211051999999819600e+03,9.925911031892520331e-01
8.211053999999820007e+03,9.924262194885576926e-01
8.211055999999818596e+03,9.922588033994506063e-01
8.211057999999819003e+03,9.920890467169111160e-01
8.211059999999817592e+03,9.919171558797752475e-01
8.211061999999817999e+03,9.917433515909871433e-01
8.211063999999816588e+03,9.915678683039528263e-01
8.211065999999816995e+03,9.913909535796062711e-01
8.211067999999815584e+03,9.912128673187720063e-01
8.211069999999815991e+03,9.910338808611015571e-01
8.211071999999814579e+03,9.908542758988463373e-01
8.211073999999814987e+03,9.906743431719935433e-01
8.211075999999813575e+03,9.904943809625583739e-01
8.211077999999813983e+03,9.903146934714682770e-01
8.211079999999812571e+03,9.901355891743185422e-01
8.211081999999812979e+03,9.899573791899639597e-01
8.211083999999811567e+03,9.897803756542051801e-01
8.211085999999811975e+03,9.896048900656944092e-01
8.211087999999810563e+03,9.894312315893268872e-01
8.211089999999810971e+03,9.892597052767164723e-01
8.211091999999809559e+03,9.890906101223467806e-01
8.211093999999809967e+03,9.889242368657159554e-01
8.211095999999808555e+03,9.887608655459872997e-01
8.211097999999808962e+03,9.886007630124014067e-01
8.211099999999807551e+03,9.884441806621434568e-01
8.211101999999807958e+03,9.882913525702223811e-01
8.211103999999806547e+03,9.881424938842254813e-01
8.211105999999806954e+03,9.879977992671410414e-01
8.211107999999805543e+03,9.878574412356897483e-01
8.211109999999805950e+03,9.877215684444171639e-01
8.211111999999804539e+03,9.875903040176149394e-01
8.211113999999804946e+03,9.874637439803847228e-01
8.211115999999803535e+03,9.873419557298531712e-01
