# RYA-373 conditioned CRIRES+ Vesta K-band CO (PROVISIONAL) — snapshot @ rya-373 2eadc4d, input to RYA-390 Part B validation.
# wave_vac_A: VACUUM wavelength (Angstrom; CRIRES IDP / molecfit WAVELENGTH_FRAME=VAC). flux_norm: continuum-normalized. err.
# RYA = RYA-373
# PROVIS = True
# TELL = molecfit
# CONTNORM = True
# RESTFRM = False
# SPECSYS = TOPOCENT
# WLEN = K2217
# GATE = 0.0653
# SNRFRAME = 78.8
# RVSTATUS = RV-INSUFFICIENT: ADP.2025-06-06T16:14:11.206.fits: frame-RV INSUFFIC
# GAP1 = FTS solar IR atlas (RYA-162) absent - telluric-gate final cal pending
# GAP2 = revalidate after RYA-387 0.001 re-extraction (anchors from RYA-381)
wave_vac_A,flux_norm,err
22882.51435,0.982728,193.9268
22882.58334,0.973581,193.6354
22882.65232,0.961473,193.1256
22882.72130,0.946903,192.8913
22882.79028,0.916238,193.4447
22882.85926,0.898709,194.1280
22882.92824,0.863310,194.7433
22882.99721,0.851375,194.7495
22883.06619,0.870302,194.7790
22883.13516,0.897399,195.5173
22883.20413,0.929338,195.2526
22883.27310,0.935420,194.9532
22883.34207,0.951512,195.5851
22883.41104,0.955259,194.8150
22883.48000,0.953729,193.4717
22883.54896,0.943880,191.9023
22883.61793,0.939176,189.0167
22883.68689,0.941522,187.3166
22883.75584,0.947852,183.7264
22883.82480,0.957279,182.7403
22883.89376,0.957385,184.3891
22883.96271,0.964855,186.9703
22884.03167,0.960557,190.3106
22884.10062,0.949901,190.8151
22884.16957,0.957379,192.1535
22884.23852,0.959607,192.8606
22884.30746,0.966984,192.5758
22884.37641,0.965073,191.5107
22884.44535,0.972639,191.1776
22884.51429,0.967906,191.2632
22884.58323,0.965918,192.0158
22884.65217,0.964037,192.8798
22884.72111,0.954858,192.7616
22884.79005,0.936615,193.4867
22884.85898,0.913243,193.1250
22884.92792,0.907472,192.1424
22884.99685,0.916994,192.8767
22885.06578,0.943264,193.0506
22885.13471,0.954917,193.8100
22885.20364,0.974698,193.5785
22885.27256,0.975243,194.2834
22885.34149,0.983081,193.7798
22885.41041,0.986169,193.5783
22885.47933,0.995240,193.2460
22885.54825,0.990754,192.3338
22885.61717,0.996923,190.6532
22885.68608,0.990162,188.2146
22885.75500,0.996479,187.7094
22885.82391,0.996006,188.4406
