wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3872.43320,3873.53100,0.19800,41.38000
3872.43770,3873.53550,0.18740,39.17000
3872.44200,3873.53980,0.17619,36.82000
3872.44660,3873.54440,0.16435,34.35000
3872.45120,3873.54900,0.15193,31.75000
3872.45540,3873.55320,0.13907,29.07000
3872.46000,3873.55780,0.12604,26.34000
3872.46430,3873.56210,0.11316,23.65000
3872.46890,3873.56670,0.10081,21.07000
3872.47340,3873.57120,0.08936,18.68000
3872.47770,3873.57550,0.07912,16.54000
3872.48230,3873.58010,0.07027,14.69000
3872.48690,3873.58470,0.06292,13.15000
3872.49110,3873.58890,0.05705,11.92000
3872.49570,3873.59350,0.05260,10.99000
3872.50030,3873.59810,0.04945,10.34000
3872.50460,3873.60240,0.04750,9.93000
3872.50920,3873.60700,0.04665,9.75000
3872.51370,3873.61150,0.04685,9.79000
3872.51800,3873.61580,0.04808,10.05000
3872.52260,3873.62040,0.05040,10.53000
3872.52720,3873.62500,0.05388,11.26000
3872.53140,3873.62920,0.05862,12.25000
3872.53600,3873.63380,0.06472,13.53000
3872.54030,3873.63810,0.07223,15.10000
3872.54490,3873.64270,0.08113,16.96000
3872.54940,3873.64720,0.09129,19.08000
3872.55370,3873.65150,0.10253,21.43000
3872.55830,3873.65610,0.11456,23.94000
3872.56290,3873.66070,0.12708,26.56000
3872.56710,3873.66490,0.13980,29.22000
3872.57170,3873.66950,0.15251,31.87000
3872.57630,3873.67410,0.16506,34.50000
3872.58060,3873.67840,0.17738,37.07000
3872.58510,3873.68290,0.18946,39.60000
3872.58970,3873.68750,0.20130,42.07000
3872.59400,3873.69180,0.21289,44.49000
3872.59860,3873.69640,0.22424,46.87000
3872.60280,3873.70060,0.23533,49.18000
3872.60740,3873.70520,0.24615,51.44000
3872.61200,3873.70980,0.25670,53.65000
3872.61630,3873.71410,0.26694,55.79000
3872.62080,3873.71860,0.27680,57.85000
3872.62540,3873.72320,0.28616,59.81000
3872.62970,3873.72750,0.29485,61.62000
3872.63430,3873.73210,0.30269,63.26000
3872.63890,3873.73670,0.30947,64.68000
3872.64310,3873.74090,0.31501,65.84000
3872.64770,3873.74550,0.31913,66.70000
3872.65230,3873.75010,0.32166,67.23000
3872.65660,3873.75440,0.32249,67.40000
3872.66110,3873.75890,0.32156,67.20000
3872.66540,3873.76320,0.31892,66.65000
3872.67000,3873.76780,0.31472,65.77000
3872.67460,3873.77240,0.30919,64.62000
3872.67880,3873.77660,0.30261,63.24000
3872.68340,3873.78120,0.29529,61.71000
3872.68800,3873.78580,0.28757,60.10000
3872.69230,3873.79010,0.27979,58.47000
3872.69680,3873.79460,0.27230,56.91000
3872.70140,3873.79920,0.26543,55.47000
3872.70570,3873.80350,0.25945,54.22000
3872.71030,3873.80810,0.25453,53.20000
3872.71480,3873.81260,0.25072,52.40000
3872.71910,3873.81700,0.24797,51.82000
3872.72370,3873.82160,0.24617,51.45000
3872.72830,3873.82620,0.24523,51.25000
3872.73250,3873.83040,0.24513,51.23000
3872.73710,3873.83500,0.24586,51.38000
3872.74140,3873.83930,0.24752,51.73000
3872.74600,3873.84390,0.25024,52.30000
3872.75050,3873.84840,0.25427,53.14000
3872.75480,3873.85270,0.25988,54.31000
3872.75940,3873.85730,0.26736,55.88000
3872.76400,3873.86190,0.27686,57.86000
3872.76820,3873.86610,0.28825,60.24000
3872.77280,3873.87070,0.30104,62.91000
3872.77740,3873.87530,0.31442,65.71000
3872.78170,3873.87960,0.32732,68.41000
3872.78630,3873.88420,0.33870,70.78000
3872.79080,3873.88870,0.34777,72.68000
