wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3352.01450,3352.97800,0.29784,47.53000
3352.01840,3352.98190,0.27319,43.60000
3352.02240,3352.98590,0.24904,39.74000
3352.02640,3352.98990,0.22669,36.18000
3352.03030,3352.99380,0.20697,33.03000
3352.03430,3352.99780,0.19016,30.35000
3352.03830,3353.00180,0.17607,28.10000
3352.04220,3353.00570,0.16416,26.20000
3352.04620,3353.00970,0.15384,24.55000
3352.05020,3353.01370,0.14471,23.09000
3352.05410,3353.01760,0.13666,21.81000
3352.05810,3353.02160,0.12986,20.72000
3352.06210,3353.02560,0.12465,19.89000
3352.06600,3353.02950,0.12154,19.40000
3352.07000,3353.03350,0.12127,19.35000
3352.07400,3353.03750,0.12502,19.95000
3352.07790,3353.04140,0.13440,21.45000
3352.08190,3353.04550,0.15135,24.16000
3352.08590,3353.04950,0.17761,28.35000
3352.08980,3353.05340,0.21416,34.18000
3352.09380,3353.05740,0.26069,41.61000
3352.09780,3353.06140,0.31539,50.34000
3352.10170,3353.06530,0.37529,59.90000
3352.10570,3353.06930,0.43679,69.71000
3352.10970,3353.07330,0.49645,79.23000
3352.11360,3353.07720,0.55152,88.02000
3352.11760,3353.08120,0.60027,95.81000
3352.12160,3353.08520,0.64187,102.45000
3352.12550,3353.08910,0.67622,107.93000
3352.12950,3353.09310,0.70367,112.31000
3352.13350,3353.09710,0.72483,115.69000
3352.13750,3353.10110,0.74050,118.19000
3352.14140,3353.10500,0.75161,119.96000
3352.14540,3353.10900,0.75922,121.18000
3352.14940,3353.11300,0.76435,122.00000
3352.15330,3353.11690,0.76796,122.57000
3352.15730,3353.12090,0.77082,123.03000
3352.16130,3353.12490,0.77353,123.46000
3352.16520,3353.12880,0.77659,123.95000
3352.16920,3353.13280,0.78039,124.56000
3352.17320,3353.13680,0.78526,125.34000
3352.17710,3353.14070,0.79140,126.32000
3352.18110,3353.14470,0.79883,127.50000
3352.18510,3353.14870,0.80738,128.87000
3352.18900,3353.15260,0.81673,130.36000
3352.19300,3353.15660,0.82645,131.91000
3352.19700,3353.16060,0.83618,133.47000
3352.20090,3353.16450,0.84559,134.97000
3352.20490,3353.16850,0.85443,136.38000
3352.20890,3353.17250,0.86252,137.67000
3352.21280,3353.17640,0.86967,138.82000
3352.21680,3353.18040,0.87574,139.79000
3352.22080,3353.18440,0.88067,140.57000
3352.22470,3353.18830,0.88449,141.18000
3352.22870,3353.19230,0.88730,141.63000
3352.23270,3353.19630,0.88925,141.94000
3352.23660,3353.20020,0.89047,142.14000
3352.24060,3353.20420,0.89105,142.23000
3352.24460,3353.20820,0.89109,142.24000
3352.24850,3353.21210,0.89068,142.18000
3352.25250,3353.21610,0.89002,142.07000
3352.25650,3353.22010,0.88933,141.96000
3352.26040,3353.22400,0.88889,141.89000
3352.26440,3353.22800,0.88890,141.89000
3352.26840,3353.23200,0.88949,141.99000
3352.27230,3353.23590,0.89066,142.18000
3352.27630,3353.23990,0.89239,142.45000
3352.28030,3353.24390,0.89462,142.81000
3352.28420,3353.24780,0.89726,143.23000
3352.28820,3353.25180,0.90024,143.71000
3352.29220,3353.25580,0.90338,144.21000
3352.29610,3353.25970,0.90643,144.70000
3352.30010,3353.26370,0.90914,145.13000
3352.30410,3353.26770,0.91125,145.47000
3352.30800,3353.27160,0.91263,145.69000
3352.31200,3353.27560,0.91327,145.79000
3352.31600,3353.27960,0.91328,145.79000
3352.31990,3353.28350,0.91284,145.72000
3352.32390,3353.28750,0.91215,145.61000
3352.32790,3353.29150,0.91137,145.49000
3352.33180,3353.29540,0.91064,145.37000
3352.33580,3353.29940,0.91011,145.29000
3352.33980,3353.30340,0.90989,145.26000
3352.34380,3353.30740,0.91003,145.28000
3352.34770,3353.31130,0.91055,145.36000
3352.35170,3353.31530,0.91132,145.49000
3352.35570,3353.31930,0.91214,145.62000
3352.35960,3353.32320,0.91274,145.71000
3352.36360,3353.32720,0.91287,145.74000
3352.36760,3353.33120,0.91231,145.65000
3352.37150,3353.33510,0.91095,145.43000
3352.37550,3353.33910,0.90872,145.07000
3352.37950,3353.34310,0.90560,144.58000
3352.38340,3353.34700,0.90160,143.94000
3352.38740,3353.35100,0.89678,143.17000
3352.39140,3353.35500,0.89125,142.29000
3352.39530,3353.35890,0.88514,141.31000
3352.39930,3353.36290,0.87862,140.27000
3352.40330,3353.36690,0.87185,139.19000
3352.40720,3353.37080,0.86502,138.10000
3352.41120,3353.37480,0.85829,137.03000
3352.41520,3353.37880,0.85184,136.00000
3352.41910,3353.38270,0.84585,135.04000
3352.42310,3353.38670,0.84054,134.20000
3352.42710,3353.39070,0.83616,133.50000
3352.43100,3353.39460,0.83296,132.99000
3352.43500,3353.39860,0.83118,132.70000
3352.43900,3353.40260,0.83104,132.68000
3352.44290,3353.40650,0.83269,132.95000
3352.44690,3353.41050,0.83617,133.50000
3352.45090,3353.41450,0.84139,134.34000
3352.45480,3353.41840,0.84811,135.41000
3352.45880,3353.42240,0.85598,136.67000
3352.46280,3353.42640,0.86461,138.05000
3352.46670,3353.43030,0.87356,139.47000
3352.47070,3353.43430,0.88245,140.89000
3352.47470,3353.43840,0.89093,142.25000
