wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
7468.96420,7471.02120,0.98214,129.23000
7468.97460,7471.03170,0.98393,129.47000
7468.98440,7471.04150,0.98579,129.71000
7468.99480,7471.05190,0.98845,130.06000
7469.00450,7471.06160,0.99054,130.34000
7469.01490,7471.07200,0.99171,130.49000
7469.02530,7471.08240,0.99290,130.65000
7469.03500,7471.09210,0.99417,130.81000
7469.04540,7471.10250,0.99489,130.91000
7469.05520,7471.11230,0.99499,130.92000
7469.06560,7471.12270,0.99467,130.88000
7469.07590,7471.13300,0.99422,130.82000
7469.08570,7471.14280,0.99443,130.85000
7469.09610,7471.15320,0.99513,130.94000
7469.10580,7471.16290,0.99518,130.95000
7469.11620,7471.17330,0.99483,130.90000
7469.12660,7471.18370,0.99506,130.93000
7469.13640,7471.19350,0.99503,130.92000
7469.14670,7471.20380,0.99439,130.84000
7469.15650,7471.21360,0.99475,130.89000
7469.16690,7471.22400,0.99592,131.04000
7469.17720,7471.23430,0.99597,131.05000
7469.18700,7471.24410,0.99550,130.99000
7469.19740,7471.25450,0.99574,131.02000
7469.20720,7471.26430,0.99560,131.00000
7469.21750,7471.27460,0.99485,130.90000
7469.22790,7471.28500,0.99470,130.88000
7469.23770,7471.29480,0.99450,130.85000
7469.24800,7471.30510,0.99345,130.71000
7469.25780,7471.31490,0.99250,130.59000
7469.26820,7471.32530,0.99170,130.48000
