line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry,w,band,depth,tier,ionx
gf_056383,pk_3c066d425663,26,1.0,Fe I,4704.948,3.686,1,-1.32,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.32,,-1.57,True,False,True,,DH14,0.05,10.1088/0067-0049/215/2/23,True,LAB,False,4704.948,VIS,0.613,DEEPGRADED,1.0
gf_056388,pk_1bb17778ec12,26,1.0,Fe I,4707.274,3.241,1,-0.96,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-0.96,,-1.08,True,False,True,,RU14,0.02,10.1093/mnras/stu780,True,LAB,False,4707.274,VIS,0.77,DEEPGRADED,1.0
gf_056394,pk_d59bcec7cf18,26,1.0,Fe I,4708.968,3.64,1,-2.07,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-2.033,,-2.033,True,False,True,,BEL17,0.11,10.3847/1538-4357/aa8cd3,True,LAB,False,4708.968,VIS,0.474,GRADED,1.0
gf_056395,pk_6ca08ac6d3c0,26,1.0,Fe I,4709.088,3.654,1,-1.32,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.33,,-1.048,True,False,True,,DH14,0.04,10.1088/0067-0049/215/2/23,True,LAB,False,4709.088,VIS,0.713,DEEPGRADED,1.0
gf_056434,pk_0cefd2b9b734,26,1.0,Fe I,4720.962,4.154,1,-1.86,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.86,,-1.997,True,False,True,,RU14,0.08,10.1093/mnras/stu780,True,LAB,False,4720.962,VIS,0.424,GRADED,1.0
gf_056445,pk_e5ba98ab10e8,26,1.0,Fe I,4726.137,2.998,1,-2.89,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-2.9,,-3.25,True,False,True,,DH14,0.09,10.1088/0067-0049/215/2/23,True,LAB,False,4726.137,VIS,0.218,GRADED,1.0
gf_056449,pk_c3dae10cdced,26,1.0,Fe I,4727.395,3.686,1,-1.06,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.083,,-1.162,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4727.395,VIS,0.689,DEEPGRADED,1.0
gf_056477,pk_fcfab8ea4586,26,1.0,Fe I,4736.773,3.211,1,-0.67,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-0.674,,-0.752,True,False,True,,DH14,0.02,10.1088/0067-0049/215/2/23,True,LAB,False,4736.773,VIS,0.806,DEEPGRADED,1.0
gf_056494,pk_5a84ce6f84cc,26,1.0,Fe I,4741.069,3.332,1,-2.4,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-2.4,,-2.514,True,False,True,,RU14,0.07,10.1093/mnras/stu780,True,LAB,False,4741.069,VIS,0.395,GRADED,1.0
gf_056513,pk_965621e30df7,26,1.0,Fe I,4745.8,3.654,1,-1.25,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.336,,-1.27,True,False,True,,DH14,0.04,10.1088/0067-0049/215/2/23,True,LAB,False,4745.8,VIS,0.676,DEEPGRADED,1.0
