band,species,wavelength_A,lower_ep_eV,elgueta_loggf,gd_depth,gd_saturation,gd_purity,gd_gof,gd_robust,elgueta_status,failure_reasons,canonical_match,canonical_line_id,canonical_grade,canonical_gf_source,gf_sigma_dex,gradeable_currently,in_current_main_rya904,in_recent_rya1054_commit,implementation_artifact,conditioned_spectrum_reaches,coverage_note,gap_class,recommended_next_action
Y,FeI,10395.794,2.176,-3.393, , , , , ,unassessed,,True,gf_167393,VALD3,VALD3,,False,True,False,data/results/rya904/FeI_10280_10680_crires_plus_SYNTH_1D-LTE_lines.csv,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_CANDIDATE_OR_REJECTED,preserve_existing
Y,FeI,10397.641,5.55,-1.539, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10423.027,2.692,-3.616, , , , , ,unassessed,,True,gf_167397,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10423.743,3.071,-2.918, , , , , ,unassessed,,True,gf_167398,VALD3,VALD3,,False,True,False,data/results/rya904/FeI_10280_10680_crires_plus_SYNTH_1D-LTE_lines.csv,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_CANDIDATE_OR_REJECTED,preserve_existing
Y,FeI,10435.355,4.733,-1.945, , , , , ,unassessed,,True,gf_167399,LAB,PRIMARY LAB DenHartog2014,0.09,True,False,True,622c954:data/products/solar/Fe.json,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_PRODUCTION,preserve_existing
Y,FeI,10440.55,6.237,-0.851, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10441.138,6.144,-0.909, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10448.624,6.144,-0.898, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10455.403,5.393,-0.908, , , , , ,unassessed,,True,gf_167400,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10456.938,5.539,-2.064, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10462.155,2.759,-5.303, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10469.652,3.884,-1.184, , , , , ,unassessed,,True,gf_167404,VALD3,VALD3,,False,True,False,data/results/rya904/FeI_10280_10680_crires_plus_SYNTH_1D-LTE_lines.csv,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_CANDIDATE_OR_REJECTED,preserve_existing
