# host=Mac machine=arm64 python=3.12.13 numpy=2.2.6 ncalls=2 nlines=473
call_seq,wave,element,normal_abund
1,630.882500,Si 1,7.2560000000000002
1,631.223600,Ti 1,4.8070000000000004
1,631.238000,Ti 1,6.0010000000000003
1,631.923700,Mg 1,9.4670000000000005
1,631.949300,Mg 1,9.8059999999999992
1,633.446600,Si 1,9.3499999999999996
1,633.609900,Ti 1,8.2059999999999995
1,634.330800,Ca 1,nan
1,634.442900,Si 1,8.6020000000000003
1,635.490300,Si 1,9.1500000000000004
1,635.988800,Ti 1,7.2300000000000004
1,637.137100,Si 2,7.8700000000000001
1,637.149600,Ti 1,6.9980000000000002
1,637.392600,Ni 1,7.3300000000000001
1,637.493000,Ca 1,nan
1,639.102000,Si 1,8.141
1,639.547200,Ti 1,6.298
1,639.734300,Si 1,7.2050000000000001
1,639.975200,Ca 1,nan
1,640.707000,Si 1,9.5619999999999994
1,641.498000,Si 1,7.8280000000000003
1,642.372000,Si 1,7.2050000000000001
1,642.458500,Ca 1,nan
1,642.788800,Si 1,7.7389999999999999
1,643.333700,Si 1,9.6069999999999993
1,643.345700,Si 1,8.8949999999999996
1,643.500400,Y 1,2.649
1,643.907500,Ca 1,6.3310000000000004
1,644.980800,Ca 1,6.8479999999999999
1,648.712100,Si 1,8.4510000000000005
1,649.344600,Si 1,9.2349999999999994
1,649.378100,Ca 1,6.5599999999999996
1,649.875700,Ba 1,5.9039999999999999
1,649.965000,Ca 1,6.5010000000000003
1,651.304400,Ti 2,5.968
1,651.375500,Si 1,9.0410000000000004
1,651.812900,Si 1,8.2319999999999993
1,652.261300,Cr 1,7.3579999999999997
1,654.303700,Ti 1,6.7690000000000001
1,654.474900,Ti 1,6.6459999999999999
1,654.832500,Ti 1,5.9560000000000004
1,655.422300,Ti 1,4.7560000000000002
1,655.482800,Ti 1,7.1550000000000002
1,657.241100,Si 1,9.093
1,657.277900,Ca 1,6.1840000000000002
1,657.288500,Cr 1,6.7910000000000004
1,657.299100,Si 1,8.9949999999999992
1,658.021300,Ni 1,6.4119999999999999
1,658.170100,Ni 1,8.0069999999999997
1,658.370700,Si 1,7.8029999999999999
1,659.050000,Cr 1,6.702
1,659.304400,Si 1,8.6690000000000005
1,659.910500,Ti 1,6.5170000000000003
1,661.612400,Si 1,8.4900000000000002
1,661.726300,Sr 1,4.9610000000000003
1,661.845700,Si 1,8.6600000000000001
1,661.857300,Ca 1,6.681
1,662.262100,Ti 1,6.2709999999999999
1,662.549300,Si 1,8.0719999999999992
1,662.964600,Ni 1,6.6210000000000004
1,663.001000,Cr 1,5.5519999999999996
1,663.083300,Mg 1,8.0730000000000004
