# linelist_procyon.csv — Procyon (HD 61421) per-system VALD3 linelist (RYA-309)
# Generated: 2026-06-14  by scripts/intake_build_procyon.py
# Stellar params (extraction): Teff=6530 K, logg=3.96, [Fe/H]=-0.04, vmic=1.7 km/s
#   (Heiter+2015 GBS fundamental Teff/logg; HFS-ON re-extraction)
# HFS splitting: ON (VERIFIED by split-group signature — supersedes the RYA-270
#   HFS-unsplit linelist_procyon.csv, quarantined as
#   linelist_procyon_rya270_hfsoff_quarantine.csv)
# Full species retained (Fe I + Fe II for the RYA-309 Fe run; all species kept
#   for the later RYA-308 all-element row).
# Extractions merged (all HFS-ON):
#   uv      : vald_procyon_uv_hfson_raw.txt (RyanSchmitt.019514.gz), 1150-3000 A
#   optical : vald_procyon_optical_hfson_raw.txt (RyanSchmitt.019513.gz), 3000-6910 A
#   nir     : vald_procyon_nir_hfson_raw.txt (RyanSchmitt.019515.gz), 6910-11000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 73
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes,extraction_source,wavelength_convention
S,I,1161.74897,0.0491,-1.244,VALD3,,8.48,-5.14,-7.44,0.919,0.5100723453561578,False,0,,uv_019514,vacuum
S,I,1161.97473,1.1454,-0.906,VALD3,,8.09,-3.29,-6.95,0.912,1.0,False,0,,uv_019514,vacuum
Fe,II,1161.99804,1.0762,-2.074,VALD3,,8.63,-6.48,-7.923,0.708,1.0,False,1,,uv_019514,vacuum
Mn,II,1162.01458,0.0,-0.957,VALD3,,8.04,-6.25,-7.62,0.897,1.0,False,0,,uv_019514,vacuum
Fe,II,1162.33386,1.0969,-1.878,VALD3,,8.63,-6.48,-7.92,0.77,0.3118039875471721,False,1,,uv_019514,vacuum
Fe,II,1162.34378,2.5827,-1.574,VALD3,,8.42,-4.93,-7.54,0.154,1.0,False,1,,uv_019514,vacuum
Fe,II,1162.64016,2.5827,-1.232,VALD3,,8.63,-5.88,-7.82,0.277,0.6201617949954772,False,1,,uv_019514,vacuum
Fe,II,1162.72834,1.0762,-3.775,VALD3,,8.43,-6.48,-7.929,0.054,1.0,False,1,,uv_019514,vacuum
Ni,II,1162.7523,1.0407,-1.887,VALD3,,7.15,-6.59,-7.94,0.513,0.518144365178746,False,0,,uv_019514,vacuum
Ni,II,1162.75703,1.1568,-2.79,VALD3,,7.57,-6.62,-7.94,0.093,1.0,False,0,,uv_019514,vacuum
Fe,II,1162.88177,2.8441,-1.478,VALD3,,8.34,-6.53,-7.71,0.105,0.8491672221300508,False,1,,uv_019514,vacuum
Fe,II,1163.16483,2.8555,-1.29,VALD3,,8.53,-6.43,-7.77,0.143,1.0,False,1,,uv_019514,vacuum
S,I,1163.2047,1.1454,-3.312,VALD3,,8.49,-4.11,-7.26,0.265,0.9664186769233672,False,0,,uv_019514,vacuum
Mn,II,1163.32556,0.0,-1.106,VALD3,,8.01,-6.21,-7.62,0.888,0.4235272044405009,False,0,,uv_019514,vacuum
S,I,1163.34002,1.1454,-3.247,VALD3,,8.5,-4.13,-7.24,0.293,1.0,False,0,,uv_019514,vacuum
Ni,II,1163.64557,1.2542,-2.104,VALD3,,7.11,-6.6,-7.95,0.271,0.5194430021936302,False,0,,uv_019514,vacuum
Fe,II,1163.68559,2.8067,-1.568,VALD3,,8.78,-5.96,-7.64,0.09,1.0,False,1,,uv_019514,vacuum
N,I,1163.884,2.3835,-1.402,VALD3,,0.0,0.0,0.0,0.829,1.0,False,0,,uv_019514,vacuum
Fe,II,1163.9155,2.7043,-1.246,VALD3,,8.34,-5.62,-7.61,0.219,1.0,False,1,,uv_019514,vacuum
S,I,1163.99625,0.0711,-1.292,VALD3,,8.5,-5.14,-7.44,0.918,1.0,False,0,,uv_019514,vacuum
N,I,1164.002,2.3846,-3.512,VALD3,,0.0,0.0,0.0,0.061,1.0,False,0,,uv_019514,vacuum
Fe,II,1164.07657,0.107,-4.291,VALD3,,8.61,-6.54,-7.775,0.17,1.0,False,1,,uv_019514,vacuum
Fe,II,1164.12629,2.8555,-1.77,VALD3,,8.34,-6.53,-7.71,0.05,1.0,False,1,,uv_019514,vacuum
