element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
Cu,I,1177.12091,0.0,-1.278,VALD3,,7.82,-2.03,-6.7,0.202,1.0,False,2,
Fe,II,1177.24637,0.9863,-3.12,VALD3,,8.59,-6.5,-7.89,0.061,1.0,False,1,
S,I,1177.28235,1.1454,-1.446,VALD3,,8.64,-4.12,-7.19,0.8,0.3214,False,1,
S,I,1177.28235,1.1454,-3.204,VALD3,,8.6,-4.34,-7.23,0.091,1.0,False,1,
Fe,II,1177.34878,1.0405,-2.913,VALD3,,8.62,-6.5,-7.759,0.081,1.0,False,1,
Cu,I,1177.64394,0.0,-0.999,VALD3,,8.39,-2.54,-6.69,0.321,0.894395,False,2,
Cu,I,1177.64394,0.0,-1.743,VALD3,,7.37,-2.14,-6.69,0.078,1.0,False,2,
N,I,1177.695,2.3846,-1.369,VALD3,,0.0,0.0,0.0,0.472,0.533406,False,2,
S,I,1178.46205,0.0711,-1.284,VALD3,,8.88,-5.63,-7.5,0.907,0.0,False,1,
Cl,I,1179.293,0.1094,-0.39,VALD3,,0.0,0.0,0.0,0.895,0.947261,False,0,
S,I,1179.29547,1.1454,-1.018,VALD3,,8.01,-3.44,-7.06,0.869,0.975603,False,1,
S,I,1180.00518,1.1454,-2.491,VALD3,,8.39,-3.91,-7.09,0.343,0.367903,False,1,
Fe,II,1180.10916,1.0405,-1.706,VALD3,,8.6,-6.5,-7.745,0.573,0.25229,False,1,
Fe,II,1180.42939,1.0762,-1.366,VALD3,,8.61,-6.5,-7.748,0.702,0.04022,False,1,
Ni,II,1181.07483,1.3222,-2.027,VALD3,,7.57,-6.62,-7.94,0.06,0.108355,False,1,
Fe,II,1181.36168,1.0762,-1.892,VALD3,,8.62,-6.5,-7.759,0.45,0.526691,False,1,
Fe,II,1181.37131,0.9863,-2.522,VALD3,,8.63,-6.5,-7.755,0.209,1.0,False,1,
S,I,1181.59466,1.1454,-1.339,VALD3,,8.1,-3.0,-7.14,0.822,0.129156,False,1,
Fe,II,1181.89395,0.2322,-2.292,VALD3,,8.6,-6.57,-7.799,0.776,0.085533,False,1,
Cu,I,1181.99901,0.0,-1.89,VALD3,,7.21,-4.7,-7.81,0.061,0.549856,False,2,
Ni,II,1182.16906,1.2542,-1.893,VALD3,,7.56,-6.58,-7.94,0.096,0.17988,False,1,
Cu,I,1183.25901,0.0,-1.67,VALD3,,7.42,-4.36,-7.67,0.091,0.729166,False,2,
Fe,II,1183.32901,1.0405,-2.613,VALD3,,8.59,-6.5,-7.742,0.155,0.716024,False,1,
Fe,II,1183.43858,0.3013,-2.17,VALD3,,8.62,-6.68,-7.709,0.784,0.209699,False,1,
Cu,I,1183.501,0.0,-1.869,VALD3,,7.52,-4.12,-7.09,0.054,0.996417,False,2,
Fe,II,1183.68734,1.0969,-1.495,VALD3,,8.62,-6.5,-7.76,0.635,0.347211,False,1,
Fe,II,1183.82916,0.9863,-0.989,VALD3,,8.61,-6.5,-7.923,0.839,0.204495,False,1,
Fe,II,1184.81756,2.8067,-0.782,VALD3,,8.35,-5.2,-7.51,0.058,1.0,False,1,
Cu,I,1184.8549,0.0,-1.46,VALD3,,7.63,-4.83,-7.65,0.139,0.870819,False,2,
Cu,I,1184.8549,0.0,-1.773,VALD3,,7.33,-4.86,-7.65,0.071,1.0,False,2,
Cu,I,1185.096,0.0,-1.897,VALD3,,7.72,-2.81,-6.79,0.059,0.626911,False,2,
Fe,II,1185.191,0.9863,-2.346,VALD3,,8.58,-6.5,-7.923,0.285,0.110492,False,1,
Fe,II,1185.71249,0.3013,-1.648,VALD3,,8.61,-6.69,-7.714,0.873,0.138962,False,1,
Fe,II,1185.85768,0.9863,-1.931,VALD3,,8.58,-6.5,-7.928,0.49,0.291588,False,1,
Fe,II,1185.97508,0.9863,-3.042,VALD3,,8.56,-6.5,-7.701,0.07,0.496724,False,1,
Fe,II,1186.19117,1.0405,-2.535,VALD3,,8.71,-6.5,-7.737,0.183,0.088031,False,1,
Cu,I,1186.90502,0.0,-1.178,VALD3,,7.91,-5.0,-7.48,0.237,0.589808,False,2,
Cu,I,1186.90502,0.0,-1.474,VALD3,,7.62,-4.57,-7.49,0.135,1.0,False,2,
Cu,I,1187.19106,0.0,-1.787,VALD3,,7.6,-2.81,-6.72,0.073,1.0,False,2,
Fe,II,1187.38285,1.0762,-2.926,VALD3,,8.59,-6.5,-7.742,0.072,1.0,False,1,
Co,II,1187.41379,0.0,-3.333,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41379,0.0,-2.856,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41407,0.0,-3.002,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41407,0.0,-3.224,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41407,0.0,-2.673,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41453,0.0,-2.66,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41453,0.0,-2.551,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41453,0.0,-3.245,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41517,0.0,-3.355,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41517,0.0,-2.49,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41517,0.0,-2.426,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41599,0.0,-3.567,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41599,0.0,-2.486,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41599,0.0,-2.241,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.417,0.0,-2.085,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.417,0.0,-3.97,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.417,0.0,-2.552,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Fe,II,1187.41759,0.9863,-1.4,VALD3,,8.61,-6.5,-7.749,0.732,1.0,False,1,
Co,II,1187.41819,0.0,-2.757,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41819,0.0,-1.949,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Co,II,1187.41957,0.0,-1.828,VALD3,,0.0,0.0,0.0,0.297,1.0,False,2,
Fe,II,1187.49676,1.0405,-1.804,VALD3,,8.63,-6.5,-7.755,0.515,1.0,False,1,
Fe,II,1188.19584,0.9863,-2.266,VALD3,,8.19,-6.5,-7.922,0.321,0.451614,False,1,
Co,II,1188.48279,0.0,-3.619,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48279,0.0,-3.472,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48306,0.0,-3.472,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48306,0.0,-3.243,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48306,0.0,-3.608,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48352,0.0,-3.243,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48352,0.0,-3.378,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48352,0.0,-3.129,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48416,0.0,-3.079,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48416,0.0,-3.135,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48416,0.0,-3.129,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48499,0.0,-3.082,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48499,0.0,-2.911,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.48499,0.0,-3.079,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.486,0.0,-3.082,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.486,0.0,-3.155,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
Co,II,1188.486,0.0,-2.712,VALD3,,0.0,0.0,0.0,0.114,1.0,False,2,
