wavelength_air_A,elo_eV,eup_eV,loggf,ew_mA,network,a_1dlte,delta_nlte,a_1dnlte,aberr,a_3dnlte,term_3d_atmosphere,in_domain
6416.9258,4.7955,6.7271,-1.11,43.491594066085504,gt02,7.392578125,,,0.04713057077409,7.43970869577409,,True
6436.4055,4.1864,6.1121,-2.46,13.21617738486186,gt02,7.7705078125,,,0.0342577615295091,7.804765574029509,,True
6469.1172,2.4041,4.3201,-4.304,69.5050074886661,gt02,7.603515625,,,,,,False
6469.1917,4.8349,6.7509,-0.77,69.63652347556469,gt02,7.603515625,,,0.0528514639698081,7.656367088969808,,True
6481.8694,2.2786,4.1909,-2.984,72.84072788195517,gt02,7.55078125,,,-0.0362593212799223,7.514521928720078,,True
6495.7409,4.8349,6.743,-0.94,74.1921911926632,gt02,7.5859375,,,0.0490811713582041,7.635018671358204,,True
6498.9379,0.9582,2.8654,-4.699,52.74709944351745,lt02,7.7265625,0.025100000000000004,7.7516625,-0.0409493771006867,7.685613122899313,-0.06604937710068715,True
6518.3653,2.8316,4.7331,-2.46,75.34357125543414,gt02,7.76171875,,,-0.0071107510389935,7.754607998961006,,True
6533.9276,4.5585,6.4555,-1.46,54.95578266313138,gt02,7.90234375,,,0.0330691362986821,7.935412886298682,,True
6551.6767,0.9901,2.882,-5.79,49.00677290254861,,,,,,,,False
6597.5588,4.7955,6.6742,-1.07,51.07664651462294,gt02,7.69140625,0.011510000000000003,7.70291625,0.0442830712214017,7.735689321221402,0.03277307122140183,True
6604.5854,4.8349,6.7116,-1.822,41.36411391973618,gt02,9.34375,,,0.0424522778368267,9.386202277836826,,True
6608.0246,2.2786,4.1544,-4.03,21.991978913475307,gt02,7.62109375,,,-0.0065534820112329,7.614540267988767,,True
6609.1093,2.5592,4.4346,-2.692,76.49428173404979,gt02,7.33984375,,,-0.0270848173282689,7.3127589326717315,,True
6625.0211,1.0111,2.882,-5.35,20.57867039708616,lt02,7.62109375,,,-0.047702426407265,7.573391323592735,,True
6627.5434,4.5485,6.4187,-1.68,32.177172688690646,gt02,7.62109375,,,0.0473615109052832,7.668455260905283,,True
6653.8509,4.1544,6.0172,-2.52,14.351526986337603,gt02,7.392578125,0.010270000000000001,7.402848125,0.0301548980117529,7.422733023011752,0.019884898011751417,True
6703.5655,2.7586,4.6076,-3.16,41.55838201400832,gt02,7.568359375,0.012580000000000003,7.580939375,0.0082428676830539,7.576602242683053,-0.004337132316947212,True
6705.1169,,,,52.52055955339996,,7.322265625,0.012130000000000002,7.334395625,,,,False
6710.3176,1.4849,3.332,-4.88,20.380864712521745,lt02,7.638671875,0.01713,7.655801875,-0.0356452657439238,7.6030266092560765,-0.05277526574392333,True
6713.742,4.7955,6.6417,-1.6,27.13133348470719,gt02,7.55078125,0.011200000000000002,7.56198125,0.0474261434027412,7.598207393402741,0.03622614340274133,True
6715.3813,4.6076,6.4534,-1.64,34.94866430554582,gt02,7.708984375,0.0064100000000000025,7.715394375,0.0460781677270405,7.755062542727041,0.03966816772704096,True
6725.3553,4.1034,5.9464,-2.3,20.68658287956461,gt02,7.4013671875,0.011200000000000002,7.4125671875,0.0431918911889662,7.444559078688966,0.031991891188966726,True
6726.6658,4.607,6.4496,-1.094,52.09858061217322,gt02,7.62109375,0.012200000000000003,7.63329375,0.0245678807027584,7.645661630702758,0.012367880702758072,True
6729.0116,5.4457,7.2877,-1.379,11.831253125814593,,,,,,,,False
6732.0643,4.5844,6.4256,-2.21,9.91185505786958,gt02,7.427734375,,,0.0398517693783856,7.4675861443783855,,True
6733.1498,4.6382,6.4791,-1.58,30.60035345026818,gt02,7.2431640625,0.010580000000000003,7.2537440625,0.0428393359599917,7.286003398459992,0.032259335959992086,True
6739.52,1.5574,3.3965,-4.794,15.621852280262177,lt02,7.48046875,0.017440000000000004,7.49790875,-0.0332996382188033,7.4471691117811964,-0.05073963821880323,True
6750.151,2.4242,4.2605,-2.621,78.90304029546522,gt02,7.55078125,,,-0.0364870459164024,7.514294204083598,,True
6752.7066,4.6382,6.4738,-1.204,42.29015443392081,gt02,7.515625,0.008340000000000002,7.523965,0.0219803284525301,7.53760532845253,0.013640328452530603,True
6786.858,4.1909,6.0172,-2.07,32.15328532597499,gt02,7.216796875,0.00927,7.226066875,0.0471224017134046,7.263919276713405,0.03785240171340476,True
6806.8425,2.7275,4.5485,-3.21,39.27585165314983,gt02,6.53125,,,,,,False
6810.2618,4.607,6.427,-0.986,56.07617740399358,gt02,7.515625,,,0.0232982156097642,7.538923215609764,,True
6819.5883,4.1034,5.9209,-2.764,13.92212295713697,gt02,7.357421875,,,,,,False
6820.3709,4.6382,6.4555,-1.32,45.92265455748864,gt02,7.603515625,,,,,,False
6828.5912,4.6382,6.4534,-0.92,65.40063423545413,gt02,7.55078125,0.012440000000000003,7.56322125,,,,False
6837.0051,4.5931,6.406,-1.687,24.13176580732322,gt02,7.603515625,0.010270000000000001,7.613785625,,,,False
6839.8295,2.5592,4.3714,-3.45,39.67460474869534,gt02,7.603515625,,,,,,False
6841.3381,4.607,6.4187,-0.75,85.9893488264743,gt02,7.5859375,,,,,,False
6842.6853,4.6382,6.4496,-1.32,50.14799637928732,gt02,7.69140625,,,,,,False
6843.6549,4.5485,6.3597,-0.93,69.16406174114157,gt02,7.4453125,0.007340000000000002,7.4526525,,,,False
6850.4355,5.4581,7.2675,-1.053,13.008344984925726,,,,,,,,False
6857.2488,4.0758,5.8834,-2.15,26.643759081584857,gt02,7.515625,,,,,,False
6858.1396,4.6076,6.4149,-0.93,58.0507718016916,gt02,7.498046875,,,,,,False
6862.48,4.5585,6.3647,-1.57,36.83629521893179,gt02,7.357421875,,,,,,False
